index,키워드,키워드_빈도,포함 인물 수,포함 인물
0,성내동,343,39,"이주득(李周得), 박의낙(朴義洛), 박의락(朴義洛), 박봉현(朴鳳賢), 김실광(金實光), 권상호(權相鎬), 박수환(朴秀煥), 송현일(宋鉉一), 김경발(金景發), 황무출(黃茂出)"
1,한국,298,97,"김용규(金容奎), 김형배(金瀅培), 임영신(任永信), 김석규(金錫圭), 함연춘(咸鍊春), 김부문(金富文), 김말불(金末不), 강대열(姜大烈), 신현욱(申鉉旭), 남병하(南柄夏)"
2,만세,267,209,"홍원영(洪元榮), 전재순(全在淳), 심문식(沈文植), 강내석(康乃錫), 김지혁(金志赫), 이봉순(李鳳舜), 장봉수(張奉守), 홍종준(洪鍾峻), 황봉주(黃鳳周), 류시복(柳始馥)"
3,부근,258,63,"금자지수(金子志洙), 김기준(金基濬), 박의낙(朴義洛), 박봉현(朴鳳賢), 김실광(金實光), 권상호(權相鎬), 송현일(宋鉉一), 윤상은(尹想殷), 강기팔(姜基팔), 황무출(黃茂出)"
4,발포,212,107,"이용재(李龍在), 정태화(鄭泰和), 김복성(金福成), 이시웅(李時雄), 김승제(金承濟), 황용주(黃龍珠), 한호석(韓戶石), 이규선(李奎璿), 이희경(李熙慶), 노원(盧원)"
5,동시,210,105,"이용재(李龍在), 정태화(鄭泰和), 김복성(金福成), 이시웅(李時雄), 김승제(金承濟), 황용주(黃龍珠), 한호석(韓戶石), 이규선(李奎璿), 이희경(李熙慶), 노원(盧원)"
6,절구,196,98,"이용재(李龍在), 정태화(鄭泰和), 김복성(金福成), 이시웅(李時雄), 김승제(金承濟), 황용주(黃龍珠), 한호석(韓戶石), 이규선(李奎璿), 이희경(李熙慶), 노원(盧원)"
7,고창,163,116,"전재순(全在淳), 장봉수(張奉守), 홍종준(洪鍾峻), 정봉수(鄭奉水), 황봉주(黃鳳周), 이무경(李武卿), 박창항(朴昌恒), 이용흡(李龍洽), 김석준(金石準), 김은호(金殷鎬)"
8,조선,156,115,"유봉수(柳奉洙), 이봉순(李鳳舜), 류시복(柳始馥), 박무병(朴武炳), 류민수(柳旼秀), 우연제(禹連濟), 강동효(姜東孝), 장용암(張龍岩), 주승렬(朱承烈), 이재향(李載鄕)"
9,장날,149,82,"김학봉(金學鳳), 김지혁(金志赫), 양경천(梁京千), 이기택(李起澤), 유동수(柳東洙), 정경인(定璟仁), 김천홍(金天鴻), 유기영(柳璣永), 김억근(金憶根), 이선동(李先童)"
10,소각,146,31,"장경봉(장庚鳳), 김종락(金鐘洛), 박후종(朴厚鐘), 한영명(韓永明), 홍정수(洪禎洙), 박여금(朴麗金), 정염수(鄭濂守), 김태건(金泰乾), 신동철(申東撤), 장봉석(張鳳石)"
11,강령,146,31,"장경봉(장庚鳳), 김종락(金鐘洛), 박후종(朴厚鐘), 한영명(韓永明), 홍정수(洪禎洙), 박여금(朴麗金), 정염수(鄭濂守), 김태건(金泰乾), 신동철(申東撤), 장봉석(張鳳石)"
12,공명,146,31,"장경봉(장庚鳳), 김종락(金鐘洛), 박후종(朴厚鐘), 한영명(韓永明), 홍정수(洪禎洙), 박여금(朴麗金), 정염수(鄭濂守), 김태건(金泰乾), 신동철(申東撤), 장봉석(張鳳石)"
13,태극기,145,128,"권대완(權大完), 강성원(姜聖源), 김학봉(金學鳳), 임영신(任永信), 양경천(梁京千), 김도상(金道尙), 김석규(金錫圭), 최한례(崔翰澧), 김석근(金石根), 김은호(金殷鎬)"
14,시위운동,141,111,"장봉수(張奉守), 이만권(李萬權), 정구갑(鄭龜甲), 박윤하(朴潤夏), 이재향(李載鄕), 원봉진(元鳳津), 이보향(李輔鄕), 이규환(李圭煥), 이대섭(李大燮), 양재순(梁在恂)"
15,기물,138,30,"이주득(李周得), 박범룡(朴範龍), 김학곤(金學坤), 김실광(金實光), 박봉현(朴鳳賢), 박수환(朴秀煥), 김경발(金景發), 김응조(金應祚), 정석출(鄭石出), 김대지(金大智)"
16,집합,128,36,"김연배(金年培), 권대완(權大完), 김용섭(金用燮), 김형배(金瀅培), 박철안(朴喆雁), 김시범(金時範), 유경발(柳景發), 유교희(柳敎熙), 김석이(金石伊), 이인봉(李仁鳳)"
17,출자,123,77,"임병묵(林炳默), 권도수(權度銖), 강대구(姜大球), 권경옥(權景玉), 이종구(李鍾九), 김상대(金相太), 김시태(金時兌), 신낙도(申樂道), 신응부(申應富), 김재원(金在源)"
18,도읍,123,77,"임병묵(林炳默), 권도수(權度銖), 강대구(姜大球), 권경옥(權景玉), 이종구(李鍾九), 김상대(金相太), 김시태(金時兌), 신낙도(申樂道), 신응부(申應富), 김재원(金在源)"
19,제위,123,77,"임병묵(林炳默), 권도수(權度銖), 강대구(姜大球), 권경옥(權景玉), 이종구(李鍾九), 김상대(金相太), 김시태(金時兌), 신낙도(申樂道), 신응부(申應富), 김재원(金在源)"
20,훼기,122,24,"박철안(朴喆雁), 유경발(柳景發), 유교희(柳敎熙), 김석이(金石伊), 유연기(柳淵琦), 유동수(柳東洙), 유종식(柳宗植), 유치득(柳致得), 유동환(柳東煥), 유동창(柳東暢)"
21,건물,122,24,"박철안(朴喆雁), 유경발(柳景發), 유교희(柳敎熙), 김석이(金石伊), 유연기(柳淵琦), 유동수(柳東洙), 유종식(柳宗植), 유치득(柳致得), 유동환(柳東煥), 유동창(柳東暢)"
22,동맹,121,45,"한방구(韓方九), 송원박(宋原博), 덕산숙범(悳山淑範), 김낙형(金洛衡), 백대윤(白大潤), 유태순(兪泰順), 장종환(張鍾煥), 이창서(李昌瑞), 허완진(許玩珍), 김석(金晳)"
23,훼손,121,18,"이주득(李周得), 김대지(金大智), 김몽룡(金夢龍), 박범룡(朴範龍), 장성렬(張星烈), 박봉현(朴鳳賢), 김실광(金實光), 박수환(朴秀煥), 전상호(田相浩), 김덕수(金德壽)"
24,군중,120,71,"김탁선(金鐸善), 조병중(曺秉重), 김도정(金度貞), 최정건(崔貞健), 김상직(金相稷), 신동목(辛東睦), 최석룡(崔碩龍), 김병한(金秉漢), 박희두(朴羲斗), 송인호(宋仁昊)"
25,주민,112,95,"조규학(曺圭鶴), 김일곤(金日坤), 전훤식(全萱植), 윤태병(尹泰炳), 최춘이(崔春伊), 황쾌동(黃快童), 정완용(鄭完用), 박경득(朴擎得), 유동환(柳東煥), 김운식(金云植)"
26,독립,111,73,"홍원영(洪元榮), 방대덕(方大德), 벽도여래(碧島礪來), 조병중(曺秉重), 한신교(韓信敎), 유봉수(柳奉洙), 이내성(李乃城), 김성민(金聖敏), 이병성(李秉性), 문형청(文亨淸)"
27,정치,110,83,"전석원(田錫元), 최자근동(崔者斤同), 서상오(徐相午), 홍순관(洪淳寬), 강흥근(姜興根), 윤태병(尹泰炳), 배동석(裵東石), 윤수영(尹守榮), 황일수(黃一秀), 김석준(金石準)"
28,독립선언서,101,62,"김창덕(金昌德), 김희조(金熙祚), 김형국(金衡國), 한길상(韓吉祥), 김용완(金溶玩), 이원경(李元敬), 임태정(林泰貞), 김성률(金聖律), 한유성(韓有聖), 임창수(林昌洙)"
29,배부,100,38,"김창덕(金昌德), 백상규(白相奎), 김수언(金守彦), 김창준(金昌俊), 임태정(林泰貞), 오은영(吳恩泳), 최응규(崔鷹奎), 김병건(金炳乾), 김병주(金炳柱), 김서룡(金瑞龍)"
30,행진,98,82,"김복성(金福成), 이시웅(李時雄), 김도상(金道尙), 노원(盧원), 이용흡(李龍洽), 박용태(朴容泰), 김양갑(金陽甲), 김병환(金餠煥), 김석이(金昔伊), 신현욱(申鉉旭)"
31,찬성,98,66,"이병익(李炳翼), 최자근동(崔者斤同), 김화용(金化鏞), 정흥룡(鄭興龍), 김상훈(金相訓), 문창호(文昌浩), 유관순(柳寬順), 이창룡(李昌龍), 양대삼(梁大三), 이백하(李栢夏)"
32,방해,96,63,"박호경(朴浩京), 이윤원(李允遠), 박병룡(朴炳龍), 박덕구(朴德求), 박순장(朴淳璋), 이승현(李承鉉), 김상현(金尙鉉), 김하영(金夏榮), 양태호(梁泰浩), 이배균(李培均)"
33,변혁,95,73,"김완석(金完錫), 장병규(張秉奎), 최숙석(崔淑石), 임낙호(任洛鎬), 전석원(田錫元), 엄본성(嚴本成), 금자근봉(金自斤奉), 서상오(徐相午), 김사철(金四哲), 장송손(張松孫)"
34,파고다,92,47,"정인철(鄭寅喆), 윤귀룡(尹貴龍), 박경조(朴炅朝), 신용준(愼鏞俊), 황용주(黃龍珠), 이규선(李奎璿), 강학룡(姜學龍), 이희경(李熙慶), 길원봉(吉元鳳), 이계창(李桂昌)"
35,공산주의,91,53,"오문규(吳文奎), 전형균(全衡均), 옥천홍섭(玉川弘燮), 부태환(夫泰煥), 이봉남(李鳳南), 서학준(徐學俊), 김유환(金유煥), 박봉순(朴奉順), 최운송(崔雲松), 최령(崔領)"
36,외치,91,69,"이석도(李碩道), 이복건(李福鍵), 박남준(朴南俊), 백기만(白基萬), 강성원(姜聖源), 한신교(韓信敎), 박의락(朴義洛), 정학순(鄭學順), 이태수(李泰秀), 여운긍(呂運兢)"
37,공원,91,47,"정인철(鄭寅喆), 윤귀룡(尹貴龍), 박경조(朴炅朝), 신용준(愼鏞俊), 황용주(黃龍珠), 이규선(李奎璿), 강학룡(姜學龍), 이희경(李熙慶), 미파평숙(美波平淑), 길원봉(吉元鳳)"
38,읍내,91,72,"이형순(李亨淳), 김상옥(金尙玉), 김현수(金現洙), 장일현(張日炫), 이정화(李禎華), 정귀인(鄭貴仁), 김학곤(金學坤), 김용수(金龍守), 이태수(李泰秀), 한계성(韓繼聖)"
39,독립운동,90,46,"양주홍(梁柱烘), 김병륜(金秉輪), 강영필(姜永弼), 강대려(姜大呂), 김경렬(金璟烈), 한창근(韓昌根), 이규헌(李奎憲), 장지림(張志林), 정희동(鄭喜童), 김양순(金良順)"
40,재소,89,33,"권상룡(權相龍), 이용규(李龍圭), 권영봉(權寧鳳), 김경발(金景發), 권오집(權五集), 정석출(鄭石出), 권영희(權寧熺), 안교은(安敎殷), 권오영(權五英), 전상호(田相浩)"
41,입당,89,16,"김금남(金今南), 원용학(元容學), 권태산(權泰山), 노창호(盧昌浩), 박익섭(朴翼燮), 박동필(朴東弼), 유태순(兪泰順), 이창서(李昌瑞), 지연호(池蓮浩), 김응수(金應洙)"
42,중국공산당,89,16,"김금남(金今南), 원용학(元容學), 권태산(權泰山), 노창호(盧昌浩), 박익섭(朴翼燮), 박동필(朴東弼), 유태순(兪泰順), 이창서(李昌瑞), 지연호(池蓮浩), 김응수(金應洙)"
43,시장,82,68,"차봉안(車鳳顔), 김기수(金基洙), 류용준(柳龍俊), 김용주(金龍珠), 김지혁(金志赫), 이규헌(李奎憲), 이봉확(李鳳崔), 정도원(鄭道源), 황치헌(黃致憲), 박희두(朴羲斗)"
44,광분,82,43,"정인철(鄭寅喆), 윤귀룡(尹貴龍), 박경조(朴炅朝), 신용준(愼鏞俊), 황용주(黃龍珠), 이규선(李奎璿), 강학룡(姜學龍), 이희경(李熙慶), 길원봉(吉元鳳), 유만종(劉萬鍾)"
45,파리,81,42,"백상규(白相奎), 김창준(金昌俊), 이도건(李道健), 엄윤영(嚴允榮), 이병직(李秉直), 이병권(李炳權), 고석준(高錫俊), 조중선(趙仲善), 강익홍(康益弘), 양제선(梁濟善)"
46,치안,81,70,"김순구(金舜九), 박호경(朴浩京), 오성칠(吳聖七), 이윤원(李允遠), 박병룡(朴炳龍), 박덕구(朴德求), 이승현(李承鉉), 김상현(金尙鉉), 이배균(李培均), 김윤구(金崙求)"
47,희망,80,47,"박호경(朴浩京), 김인관(金仁寬), 이용훤(李容暄), 유봉수(柳奉洙), 김정하(金貞夏), 이승현(李承鉉), 이윤영(李允榮), 이약수(李若壽), 나찬진(羅燦鎭), 김연희(金演熙)"
48,목적,79,65,"김완석(金完錫), 장병규(張秉奎), 임낙호(任洛鎬), 전석원(田錫元), 홍순관(洪淳寬), 김사철(金四哲), 최석(崔錫), 최순근(崔順根), 강흥근(姜興根), 배동석(裵東石)"
49,손병희,76,60,"김완석(金完錫), 장병규(張秉奎), 조경화(趙敬化), 전석원(田錫元), 천학서(千學書), 김계식(金界植), 유장호(柳章浩), 유점동(柳点同), 김화용(金化鏞), 최순근(崔順根)"
