head,relation,tail
N0001,나이,19세(3월 21일생)
N0001,죄명,출판법위반
N0001,주문,"금고 2월 및 벌금 20원, 벌금을 완납하지 못한 때는 20일간 노역장에 유치함"
N0001,판결연도,year_1912
N0001,연루사건,e001
N0001,본적주소,addr_경성
출판법위반,URI,https://www.wikidata.org/wiki/Q134434680
경성,URI,https://www.wikidata.org/wiki/Q483984
N0002,나이,23세(2월 5일생)
N0002,죄명,모살미수
N0002,주문,징역 5년
N0002,판결연도,year_1912
N0002,연루사건,e002
N0002,본적주소,addr_함남
모살미수,URI,❌ 없음
함남,URI,https://www.wikidata.org/wiki/Q109368
N0003,나이,29세(5월 9일생)
N0003,죄명,모살미수
N0003,주문,징역 7년
N0003,판결연도,year_1912
N0003,연루사건,e002
N0003,본적주소,addr_황해도
모살미수,URI,❌ 없음
황해도,URI,https://www.wikidata.org/wiki/Q698214
N0004,나이,21세(2월 19일생)
N0004,죄명,모살미수
N0004,주문,징역 5년
N0004,판결연도,year_1912
N0004,연루사건,e002
N0004,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0005,나이,29세(1월 7일생)
N0005,죄명,모살미수
N0005,주문,징역 6년
N0005,판결연도,year_1912
N0005,연루사건,e002
N0005,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0006,나이,29세(2월 15일생)
N0006,죄명,모살미수
N0006,주문,징역 6년
N0006,판결연도,year_1912
N0006,연루사건,e002
N0006,본적주소,addr_평양부
모살미수,URI,❌ 없음
평양부,URI,https://www.wikidata.org/wiki/Q12621802
N0007,나이,34세(3월 3일생)
N0007,죄명,모살미수
N0007,주문,징역 5년
N0007,판결연도,year_1912
N0007,연루사건,e002
N0007,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0008,나이,23세(3월 4일생)
N0008,죄명,모살미수
N0008,주문,징역 5년
N0008,판결연도,year_1912
N0008,연루사건,e002
N0008,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0009,나이,21세(10월 15일생)
N0009,죄명,모살미수
N0009,주문,무죄
N0009,판결연도,year_1912
N0009,연루사건,e002
N0009,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0010,나이,21세(10월 7일생)
N0010,죄명,모살미수
N0010,주문,무죄
N0010,판결연도,year_1912
N0010,연루사건,e002
N0010,본적주소,addr_평북
모살미수,URI,❌ 없음
평북,URI,https://www.wikidata.org/wiki/Q109348
N0011,나이,31세(1월 20일생)
N0011,죄명,모살미수
N0011,주문,징역 6년
